Season,W,L,W-L%,W_c,L_c,W-L%_c,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1975-76,32,0,1,18,0,1,26.53,9.22,82.1,64.8,1,1,1,Won NCAA Tournament National Final,,Bob Knight (32-0)
1974-75,31,1,0.969,18,0,1,28.66,6.53,88,65.9,3,1,3,Lost NCAA Tournament Regional Final,,Bob Knight (31-1)
1973-74,23,5,0.821,12,2,0.857,17.61,6,76.9,65.3,3,3,9,,,Bob Knight (23-5)
1972-73,22,6,0.786,11,3,0.786,16.57,8.42,78,69.8,,4,6,Lost NCAA Tournament National Semifinal,,Bob Knight (22-6)
1971-72,17,8,0.68,9,5,0.643,10.28,3.61,73.6,67.1,,5,17,,,Bob Knight (17-8)
1970-71,17,7,0.708,10,5,0.667,7.96,3.79,90.8,86.1,16,11,,,,Lou Watson (17-7)
1969-70,7,17,0.292,3,11,0.214,1.72,6.43,84.5,89.2,,,,,,Jerry Oliver (7-17)
1968-69,9,15,0.375,4,10,0.286,4.5,8,81.1,84.6,,,,,,Lou Watson (9-15)
1967-68,10,14,0.417,4,10,0.286,0.64,2.27,80.6,82.3,,3,,,,Lou Watson (10-14)
1966-67,18,8,0.692,10,4,0.714,7.26,3.3,81.7,77.3,,,,Lost NCAA Tournament Regional Semifinal,,Lou Watson (18-8)
1965-66,8,16,0.333,4,10,0.286,1.54,6.15,77.3,81.2,,,,,,Lou Watson (8-16)
1964-65,19,5,0.792,9,5,0.643,18.55,6.63,91.7,79.8,,2,,,,Branch McCracken (19-5)
1963-64,9,15,0.375,5,9,0.357,7.65,7.47,84.7,83.9,,,,,,Branch McCracken (9-15)
1962-63,13,11,0.542,9,5,0.643,6.98,6.27,84.7,84,,8,,,,Branch McCracken (13-11)
1961-62,13,11,0.542,7,7,0.5,5.25,6.21,87,88,,,,,,Branch McCracken (13-11)
1960-61,15,9,0.625,8,6,0.571,7.81,5.81,75.5,71.4,,4,,,,Branch McCracken (15-9)
1959-60,20,4,0.833,11,3,0.786,14.94,6.11,83.2,73.1,,7,7,,,Branch McCracken (20-4)
1958-59,11,11,0.5,7,7,0.5,9.6,6.73,79.5,76.6,,15,,,,Branch McCracken (11-11)
1957-58,13,11,0.542,10,4,0.714,7.41,6.04,79.8,78.4,,12,12,Lost NCAA Tournament Regional Semifinal,,Branch McCracken (13-11)
1956-57,14,8,0.636,10,4,0.714,8.9,5.37,77.4,73,,10,,,,Branch McCracken (14-8)
1955-56,13,9,0.591,6,8,0.429,10.67,7.35,81.8,78.5,,12,,,,Branch McCracken (13-9)
1954-55,8,14,0.364,5,9,0.357,4.47,7.83,75.9,79.2,,6,,,,Branch McCracken (8-14)
1953-54,20,4,0.833,12,2,0.857,17.47,9.13,75.5,67.2,,1,4,Lost NCAA Tournament Regional Semifinal,,Branch McCracken (20-4)
1952-53,23,3,0.885,17,1,0.944,19.98,8.29,81.2,69.5,,1,1,Won NCAA Tournament National Final,,Branch McCracken (23-3)
1951-52,16,6,0.727,9,5,0.643,12.16,5.29,73.7,66.8,,4,,,,Branch McCracken (16-6)
1950-51,19,3,0.864,12,2,0.857,16.94,5.85,64.5,53.3,,3,7,,,Branch McCracken (19-3)
1949-50,17,5,0.773,7,5,0.583,12,5,64.5,56.5,,4,20,,,Branch McCracken (17-5)
1948-49,14,8,0.636,,,,,,54.3,49.5,,,,,,Branch McCracken (14-8)
1947-48,8,12,0.4,,,,,,55.7,53.4,,,,,,Branch McCracken (8-12)
1946-47,12,8,0.6,,,,,,,,,,,,,Branch McCracken (12-8)
1945-46,18,3,0.857,,,,,,,,,,,,,Harry Good (18-3)
1944-45,10,11,0.476,,,,,,,,,,,,,Harry Good (10-11)
1943-44,7,15,0.318,,,,,,,,,,,,,Harry Good (7-15)
1942-43,18,2,0.9,,,,,,,,,,,,,Branch McCracken (18-2)
1941-42,15,6,0.714,,,,,,,,,,,,,Branch McCracken (15-6)
1940-41,17,3,0.85,,,,,,,,,,,,,Branch McCracken (17-3)
1939-40,20,3,0.87,,,,,,,,,,,Won NCAA Tournament National Final,,Branch McCracken (20-3)
1938-39,17,3,0.85,,,,,,,,,,,,,Branch McCracken (17-3)
1937-38,10,10,0.5,,,,,,,,,,,,,Everett Dean (10-10)
1936-37,13,7,0.65,,,,,,,,,,,,,Everett Dean (13-7)
1935-36,18,2,0.9,,,,,,,,,,,,,Everett Dean (18-2)
1934-35,14,6,0.7,,,,,,,,,,,,,Everett Dean (14-6)
1933-34,13,7,0.65,,,,,,,,,,,,,Everett Dean (13-7)
1932-33,10,8,0.556,,,,,,,,,,,,,Everett Dean (10-8)
1931-32,8,10,0.444,,,,,,,,,,,,,Everett Dean (8-10)
1930-31,9,8,0.529,,,,,,,,,,,,,Everett Dean (9-8)
1929-30,8,9,0.471,,,,,,,,,,,,,Everett Dean (8-9)
1928-29,7,10,0.412,,,,,,,,,,,,,Everett Dean (7-10)
1927-28,15,2,0.882,,,,,,,,,,,,,Everett Dean (15-2)
1926-27,13,4,0.765,,,,,,,,,,,,,Everett Dean (13-4)
1925-26,12,5,0.706,,,,,,,,,,,,,Everett Dean (12-5)
1924-25,12,5,0.706,,,,,,,,,,,,,Everett Dean (12-5)
1923-24,11,6,0.647,,,,,,,,,,,,,Leslie Mann (11-6)
1922-23,8,7,0.533,,,,,,,,,,,,,Leslie Mann (8-7)
1921-22,10,10,0.5,,,,,,,,,,,,,George Lewis (10-10)
1920-21,15,6,0.714,,,,,,,,,,,,,George Lewis (15-6)
1919-20,13,8,0.619,,,,,,,,,,,,,Jumbo Stiehm (13-8)
1918-19,10,7,0.588,,,,,,,,,,,,,Dana Evans (10-7)
1917-18,10,4,0.714,,,,,,,,,,,,,Dana Evans (10-4)
1916-17,13,6,0.684,,,,,,,,,,,,,Guy Lowman (13-6)
1915-16,6,7,0.462,,,,,,,,,,,,,Allan Willisford (6-7)
1914-15,4,9,0.308,,,,,,,,,,,,,Arthur Berndt (4-9)
1913-14,2,12,0.143,,,,,,,,,,,,,Arthur Berndt (2-12)
1912-13,5,11,0.313,,,,,,,,,,,,,Arthur Powell (5-11)
1911-12,6,11,0.353,,,,,,,,,,,,,James Kase (6-11)
1910-11,11,5,0.688,,,,,,,,,,,,,Oscar Rackle (11-5)
1909-10,5,8,0.385,,,,,,,,,,,,,John Georgen (5-8)
1908-09,5,9,0.357,,,,,,,,,,,,,Robert Harris (5-9)
1907-08,9,6,0.6,,,,,,,,,,,,,Eddie Cook (9-6)
1906-07,9,5,0.643,,,,,,,,,,,,,James Sheldon (9-5)
1905-06,7,9,0.438,,,,,,,,,,,,,Zora Clevenger (7-9)
1904-05,5,12,0.294,,,,,,,,,,,,,Zora Clevenger (5-12)
1903-04,5,4,0.556,,,,,,,,,,,,,Willis Coval (5-4)
1902-03,8,4,0.667,,,,,,,,,,,,,Willis Coval (8-4)
1901-02,4,4,0.5,,,,,,,,,,,,,Phelps Darby (4-4)
1900-01,1,4,0.2,,,,,,,,,,,,,James Horne (1-4
